Index,Penn Dot municipal ID number,Total Number of Cyclists killed or suspected of serious injury from crashes with automobiles,Total cyclists suspected of serious injury from crashes with automobiles over 10 years period,Total cyclists killed from crashes with automobiles over 10 years period
1,67301,86,71,15
2,25302,11,10,1
3,39301,9,8,1
4,2301,9,5,4
5,21402,8,8,0
6,36301,7,7,0
7,40304,5,3,2
8,25213,5,4,1
9,22301,5,3,2
10,35302,5,5,0
11,9101,4,3,1
12,48301,4,4,0
13,6301,4,3,1
14,2108,4,3,1
15,46416,4,4,0
16,39209,4,3,1
17,40101,4,3,1
18,23111,4,4,0
19,14410,4,3,1
20,36101,3,3,0
21,48101,3,2,1
22,22102,3,2,1
23,6102,3,3,0
24,66208,3,3,0
25,10101,3,3,0
26,36220,3,3,0
27,66301,3,2,1
28,37301,3,3,0
29,53301,3,3,0
30,9213,3,2,1
31,36214,3,3,0
32,15230,3,3,0
33,14216,2,2,0
34,9403,2,2,0
35,9401,2,1,1
36,9228,2,2,0
37,45203,2,2,0
38,14206,2,2,0
39,46104,2,2,0
40,9411,2,2,0
41,62217,2,2,0
42,48419,2,2,0
43,46413,2,2,0
44,46211,2,2,0
45,21403,2,2,0
46,15247,2,1,1
47,15403,2,2,0
48,6232,2,0,2
49,9211,2,1,1
50,46110,2,2,0
51,9208,2,1,1
52,48302,2,2,0
53,9202,2,2,0
54,46204,2,2,0
55,46107,2,2,0
56,62222,2,2,0
57,39104,2,0,2
58,36407,2,2,0
59,36230,2,2,0
60,39102,2,2,0
61,36228,2,2,0
62,17301,1,1,0
63,46402,1,1,0
64,36223,1,1,0
65,15219,1,1,0
66,38301,1,1,0
67,15221,1,0,1
68,15226,1,1,0
69,36221,1,1,0
70,15232,1,1,0
71,36218,1,1,0
72,46424,1,1,0
73,46421,1,1,0
74,36215,1,1,0
75,15252,1,1,0
76,36213,1,1,0
77,15256,1,0,1
78,15301,1,1,0
79,36225,1,0,1
80,15401,1,1,0
81,38213,1,1,0
82,46213,1,0,1
83,46414,1,1,0
84,46224,1,1,0
85,36209,1,1,0
86,46410,1,1,0
87,15410,1,1,0
88,15414,1,1,0
89,28213,1,1,0
90,15208,1,1,0
91,19216,1,1,0
92,49217,1,0,1
93,36412,1,1,0
94,10212,1,1,0
95,10301,1,0,1
96,50203,1,0,1
97,36409,1,0,1
98,11223,1,1,0
